trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
288,11.908844,154.643846,15,10,6,black,32,2.719374,14.487500,0
289,12.392541,95.566252,9,4,4,black,32,2.780602,13.816667,0
290,11.928025,235.037278,24,22,33,black,35,2.934706,14.304167,0
291,12.324249,269.512559,27,23,1,red,33,2.765522,14.920833,0
292,11.541115,306.910219,31,28,22,black,34,2.890640,14.370833,0
293,11.644284,296.276172,30,27,9,red,34,2.875891,14.533333,0
294,11.612204,110.290654,11,10,6,black,36,2.960114,14.687500,0
295,12.214928,335.887503,34,4,4,black,7,3.148595,16.262500,0
296,12.114210,6.155582,0,32,28,black,32,2.744279,14.904167,0
297,11.732989,259.076780,26,17,23,red,28,2.707692,13.345833,0
298,11.523272,318.198196,32,30,29,black,35,2.908583,14.795833,0
299,12.027973,213.673308,21,20,24,black,36,2.921545,14.562500,0
300,11.977765,351.020525,36,29,18,red,30,2.724843,15.870833,0
301,11.597476,338.480318,34,33,12,red,36,2.948665,14.600000,0
302,12.120760,217.101686,22,23,1,red,1,2.992877,14.804167,0
303,12.354555,341.613251,35,32,28,black,34,2.830768,16.320833,0
304,11.732981,206.334630,21,20,24,black,36,2.934948,14.675000,0
305,11.746957,248.370500,25,25,14,red,0,2.945105,15.254167,0
306,11.891114,70.404420,7,1,32,red,31,2.724580,15.091667,0
307,11.572014,307.106279,31,29,18,red,35,2.897931,14.695833,0
308,12.145242,246.876346,25,19,5,red,31,2.742292,14.216667,0
309,11.694069,160.774566,16,9,34,red,30,2.707014,14.158333,0
310,12.425708,340.564260,35,31,7,red,33,2.762859,15.137500,0
311,11.706440,292.234871,30,29,18,red,36,2.967480,14.683333,0
312,12.156341,277.775000,28,31,7,red,3,3.053605,15.116667,0
313,11.823149,7.373353,0,36,26,black,36,2.923588,15.612500,0
314,11.542464,185.258398,19,21,16,red,2,3.033384,15.854167,0
315,12.407864,41.891061,4,0,0,green,33,2.778646,15.129167,0
316,12.113062,317.351562,32,26,31,black,31,2.737213,15.862500,0
317,12.262253,3.826595,0,31,7,red,31,2.745880,14.079167,0
318,11.888496,348.893621,35,29,18,red,31,2.730832,15.816667,0
